hetionet_gene_id	entrez_id	hetionet_name	current_hgnc_symbol	reason
Gene::101927767	101927767	LOC101927767		entrez_not_in_current_hgnc
Gene::101927853	101927853	LOC101927853		entrez_not_in_current_hgnc
Gene::101927855	101927855	LOC101927855		entrez_not_in_current_hgnc
Gene::101927955	101927955	LOC101927955		entrez_not_in_current_hgnc
Gene::101927998	101927998	LOC101927998		entrez_not_in_current_hgnc
Gene::101928039	101928039	LOC101928039		entrez_not_in_current_hgnc
Gene::101928093	101928093	LOC101928093		entrez_not_in_current_hgnc
Gene::101928193	101928193	LOC101928193		entrez_not_in_current_hgnc
Gene::101928195	101928195	LOC101928195		entrez_not_in_current_hgnc
Gene::101928208	101928208	LOC101928208		entrez_not_in_current_hgnc
Gene::101928268	101928268	LOC101928268		entrez_not_in_current_hgnc
Gene::101928291	101928291	LOC101928291		entrez_not_in_current_hgnc
Gene::101928318	101928318	LOC101928318		entrez_not_in_current_hgnc
Gene::101928343	101928343	LOC101928343		entrez_not_in_current_hgnc
Gene::101928344	101928344	LOC101928344		entrez_not_in_current_hgnc
Gene::101928422	101928422	LOC101928422		entrez_not_in_current_hgnc
Gene::101928451	101928451	LOC101928451		entrez_not_in_current_hgnc
Gene::101928468	101928468	LOC101928468		entrez_not_in_current_hgnc
Gene::101928481	101928481	LOC101928481		entrez_not_in_current_hgnc
Gene::101928499	101928499	LOC101928499		entrez_not_in_current_hgnc
Gene::101928548	101928548	LOC101928548		entrez_not_in_current_hgnc
Gene::101928552	101928552	LOC101928552		entrez_not_in_current_hgnc
Gene::101928587	101928587	LOC101928587		entrez_not_in_current_hgnc
Gene::101928589	101928589	LOC101928589		entrez_not_in_current_hgnc
Gene::101928592	101928592	LOC101928592		entrez_not_in_current_hgnc
Gene::101928596	101928596	LOC101928596		entrez_not_in_current_hgnc
Gene::101928621	101928621	LOC101928621		entrez_not_in_current_hgnc
Gene::101928631	101928631	LOC101928631		entrez_not_in_current_hgnc
Gene::101928635	101928635	LOC101928635		entrez_not_in_current_hgnc
Gene::101928675	101928675	LOC101928675		entrez_not_in_current_hgnc
Gene::101928722	101928722	LOC101928722		entrez_not_in_current_hgnc
Gene::101928726	101928726	LOC101928726		entrez_not_in_current_hgnc
Gene::101928728	101928728	LOC101928728		entrez_not_in_current_hgnc
Gene::101928764	101928764	LOC101928764		entrez_not_in_current_hgnc
