hetionet_gene_id	hetionet_gene_symbol	entrez_id	ensembl_id	gene_symbol
Gene::1352	COX10	1352	ENSG00000006695	COX10
Gene::9569	GTF2IRD1	9569	ENSG00000006704	GTF2IRD1
Gene::54623	PAF1	54623	ENSG00000006712	PAF1
Gene::27072	VPS41	27072	ENSG00000006715	VPS41
Gene::9912	ARHGAP44	9912	ENSG00000006740	ARHGAP44
Gene::60528	ELAC2	60528	ENSG00000006744	ELAC2
Gene::85477	SCIN	85477	ENSG00000006747	SCIN
Gene::414	ARSD	414	ENSG00000006756	ARSD
Gene::8228	PNPLA4	8228	ENSG00000006757	PNPLA4
Gene::8735	MYH13	8735	ENSG00000006788	MYH13
Gene::79602	ADIPOR2	79602	ENSG00000006831	ADIPOR2
Gene::51265	CDKL3	51265	ENSG00000006837	CDKL3
Gene::151531	UPP2	151531	ENSG00000007001	UPP2
Gene::10942	PRSS21	10942	ENSG00000007038	PRSS21
Gene::57787	MARK4	57787	ENSG00000007047	MARK4
Gene::8842	PROM1	8842	ENSG00000007062	PROM1
Gene::115098	CCDC124	115098	ENSG00000007080	CCDC124
Gene::90273	CEACAM21	90273	ENSG00000007129	CEACAM21
Gene::5048	PAFAH1B1	5048	ENSG00000007168	PAFAH1B1
Gene::4843	NOS2	4843	ENSG00000007171	NOS2
Gene::1770	DNAH9	1770	ENSG00000007174	DNAH9
Gene::9703	KIAA0100	9703	ENSG00000007202	BLTP2
Gene::9058	SLC13A2	9058	ENSG00000007216	SLC13A2
Gene::8522	GAS7	8522	ENSG00000007237	GAS7
Gene::79090	TRAPPC6A	79090	ENSG00000007255	TRAPPC6A
Gene::4145	MATK	4145	ENSG00000007264	MATK
Gene::1087	CEACAM7	1087	ENSG00000007306	CEACAM7
Gene::974	CD79B	974	ENSG00000007312	CD79B
Gene::6329	SCN4A	6329	ENSG00000007314	SCN4A
Gene::54879	ST7L	54879	ENSG00000007341	ST7L
Gene::8277	TKTL1	8277	ENSG00000007350	TKTL1
Gene::5080	PAX6	5080	ENSG00000007372	PAX6
Gene::113000	RPUSD1	113000	ENSG00000007376	RPUSD1
Gene::64285	RHBDF1	64285	ENSG00000007384	RHBDF1
Gene::55692	LUC7L	55692	ENSG00000007392	LUC7L
Gene::9254	CACNA2D2	9254	ENSG00000007402	CACNA2D2
Gene::8938	BAIAP3	8938	ENSG00000007516	BAIAP3
Gene::115939	TSR3	115939	ENSG00000007520	TSR3
Gene::9091	PIGQ	9091	ENSG00000007541	PIGQ
Gene::57585	CRAMP1L	57585	ENSG00000007545	CRAMP1
Gene::7005	TEAD3	7005	ENSG00000007866	TEAD3
Gene::6401	SELE	6401	ENSG00000007908	SELE
Gene::55735	DNAJC11	55735	ENSG00000007923	DNAJC11
Gene::2328	FMO3	2328	ENSG00000007933	FMO3
Gene::29116	MYLIP	29116	ENSG00000007944	MYLIP
Gene::27035	NOX1	27035	ENSG00000007952	NOX1
Gene::1870	E2F2	1870	ENSG00000007968	E2F2
Gene::5689	PSMB1	5689	ENSG00000008018	PSMB1
Gene::6853	SYN1	6853	ENSG00000008056	SYN1
Gene::3720	JARID2	3720	ENSG00000008083	JARID2
Gene::6792	CDKL5	6792	ENSG00000008086	CDKL5
Gene::57172	CAMK1G	57172	ENSG00000008118	CAMK1G
Gene::728642	CDK11A	728642	ENSG00000008128	CDK11A
Gene::65220	NADK	65220	ENSG00000008130	NADK
Gene::7021	TFAP2B	7021	ENSG00000008196	TFAP2B
Gene::83741	TFAP2D	83741	ENSG00000008197	TFAP2D
Gene::9940	DLEC1	9940	ENSG00000008226	DLEC1
Gene::9265	CYTH3	9265	ENSG00000008256	CYTH3
Gene::53616	ADAM22	53616	ENSG00000008277	ADAM22
Gene::6856	SYPL1	6856	ENSG00000008282	SYPL1
Gene::1534	CYB561	1534	ENSG00000008283	CYB561
Gene::9043	SPAG9	9043	ENSG00000008294	SPAG9
Gene::1951	CELSR3	1951	ENSG00000008300	CELSR3
Gene::10157	AASS	10157	ENSG00000008311	AASS
Gene::55200	PLEKHG6	55200	ENSG00000008323	PLEKHG6
Gene::51188	SS18L2	51188	ENSG00000008324	SS18L2
Gene::84954	MPND	84954	ENSG00000008382	MPND
Gene::4257	MGST1	4257	ENSG00000008394	MGST1
Gene::1407	CRY1	1407	ENSG00000008405	CRY1
Gene::8993	PGLYRP1	8993	ENSG00000008438	PGLYRP1
Gene::4784	NFIX	4784	ENSG00000008441	NFIX
Gene::6482	ST3GAL1	6482	ENSG00000008513	ST3GAL1
Gene::64386	MMP25	64386	ENSG00000008516	MMP25
Gene::9235	IL32	9235	ENSG00000008517	IL32
Gene::5310	PKD1	5310	ENSG00000008710	PKD1
Gene::23542	MAPK8IP2	23542	ENSG00000008735	MAPK8IP2
Gene::9862	MED24	9862	ENSG00000008838	MED24
Gene::23221	RHOBTB2	23221	ENSG00000008853	RHOBTB2
