ensembl_id	gene_symbol	entrez_id	hetionet_gene_id	hetionet_gene_symbol	mapping_status
ENSG00000136819	C9orf78	51759	Gene::51759	C9orf78	mapped
ENSG00000132386	SERPINF1	5176	Gene::5176	SERPINF1	mapped
ENSG00000103528	SYT17	51760	Gene::51760	SYT17	mapped
ENSG00000132932	ATP8A2	51761	Gene::51761	ATP8A2	mapped
ENSG00000166128	RAB8B	51762	Gene::51762	RAB8B	mapped
ENSG00000132376	INPP5K	51763	Gene::51763	INPP5K	mapped
ENSG00000127588	GNG13	51764	Gene::51764	GNG13	mapped
ENSG00000134602	STK26	51765	Gene::51765	STK26	mapped
ENSG00000064115	TM7SF3	51768	Gene::51768	TM7SF3	mapped
ENSG00000048649	RSF1	51773	Gene::51773	RSF1	mapped
ENSG00000091436	MAP3K20	51776	Gene::51776	ZAK	mapped
ENSG00000172399	MYOZ2	51778	Gene::51778	MYOZ2	mapped
ENSG00000198300	PEG3	5178	Gene::5178	PEG3	mapped
ENSG00000120733	KDM3B	51780	Gene::51780	KDM3B	mapped
ENSG00000181195	PENK	5179	Gene::5179	PENK	mapped
ENSG00000154518	ATP5MC3	518	Gene::518	ATP5G3	mapped
ENSG00000256394	ASIC5	51802	Gene::51802	ASIC5	mapped
ENSG00000100625	SIX4	51804	Gene::51804	SIX4	mapped
ENSG00000132423	COQ3	51805	Gene::51805	COQ3	mapped
ENSG00000178372	CALML5	51806	Gene::51806	CALML5	mapped
ENSG00000183785	TUBA8	51807	Gene::51807	TUBA8	mapped
ENSG00000164902	PHAX	51808	Gene::51808	PHAX	mapped
ENSG00000109586	GALNT7	51809	Gene::51809	GALNT7	mapped
ENSG00000093072	ADA2	51816	Gene::51816	CECR1	mapped
ENSG00000124299	PEPD	5184	Gene::5184	PEPD	mapped
ENSG00000179094	PER1	5187	Gene::5187	PER1	mapped
ENSG00000059691	GATB	5188	Gene::5188	GATB	mapped
ENSG00000127980	PEX1	5189	Gene::5189	PEX1	mapped
ENSG00000124587	PEX6	5190	Gene::5190	PEX6	mapped
ENSG00000112357	PEX7	5191	Gene::5191	PEX7	mapped
ENSG00000157911	PEX10	5192	Gene::5192	PEX10	mapped
ENSG00000108733	PEX12	5193	Gene::5193	PEX12	mapped
ENSG00000162928	PEX13	5194	Gene::5194	PEX13	mapped
ENSG00000142655	PEX14	5195	Gene::5195	PEX14	mapped
ENSG00000163737	PF4	5196	Gene::5196	PF4	mapped
ENSG00000109272	PF4V1	5197	Gene::5197	PF4V1	mapped
ENSG00000178921	PFAS	5198	Gene::5198	PFAS	mapped
ENSG00000126759	CFP	5199	Gene::5199	CFP	mapped
ENSG00000143727	ACP1	52	Gene::52	ACP1	mapped
ENSG00000113068	PFDN1	5201	Gene::5201	PFDN1	mapped
ENSG00000143256	PFDN2	5202	Gene::5202	PFDN2	mapped
ENSG00000101132	PFDN4	5203	Gene::5203	PFDN4	mapped
ENSG00000123349	PFDN5	5204	Gene::5204	PFDN5	mapped
ENSG00000081923	ATP8B1	5205	Gene::5205	ATP8B1	mapped
ENSG00000158571	PFKFB1	5207	Gene::5207	PFKFB1	mapped
ENSG00000123836	PFKFB2	5208	Gene::5208	PFKFB2	mapped
ENSG00000170525	PFKFB3	5209	Gene::5209	PFKFB3	mapped
ENSG00000169020	ATP5ME	521	Gene::521	ATP5I	mapped
ENSG00000114268	PFKFB4	5210	Gene::5210	PFKFB4	mapped
ENSG00000141959	PFKL	5211	Gene::5211	PFKL	mapped
ENSG00000205221	VIT	5212	Gene::5212	VIT	mapped
ENSG00000152556	PFKM	5213	Gene::5213	PFKM	mapped
ENSG00000067057	PFKP	5214	Gene::5214	PFKP	mapped
ENSG00000108518	PFN1	5216	Gene::5216	PFN1	mapped
ENSG00000070087	PFN2	5217	Gene::5217	PFN2	mapped
ENSG00000058091	CDK14	5218	Gene::5218	CDK14	mapped
ENSG00000154723	ATP5PF	522	Gene::522	ATP5J	mapped
ENSG00000256713	PGA5	5222	Gene::5222	PGA5	mapped
ENSG00000171314	PGAM1	5223	Gene::5223	PGAM1	mapped
ENSG00000164708	PGAM2	5224	Gene::5224	PGAM2	mapped
ENSG00000096088	PGC	5225	Gene::5225	PGC	mapped
