node_id	node_name	node_kind
Pathway::PC7_2373	CXCR4-mediated signaling events	Pathway
Gene::442184	OR2B3	Gene
Pathway::PC7_5271	Meiosis	Pathway
Pathway::PC7_3808	FCGR activation	Pathway
Gene::2690	GHR	Gene
Gene::440026	TMEM41B	Gene
Gene::4619	MYH1	Gene
Gene::286204	CRB2	Gene
Gene::55250	ELP2	Gene
Gene::1121	CHM	Gene
Gene::131831	ERICH6	Gene
Gene::90379	DCAF15	Gene
Gene::2815	GP9	Gene
Gene::6832	SUPV3L1	Gene
Gene::337963	KRTAP23-1	Gene
Pathway::PC7_5510	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	Pathway
Gene::163688	CALML6	Gene
Gene::81563	C1orf21	Gene
Gene::54832	VPS13C	Gene
Gene::154467	CCDC167	Gene
Gene::51168	MYO15A	Gene
Gene::3609	ILF3	Gene
Gene::9649	RALGPS1	Gene
Gene::116535	MRGPRF	Gene
Gene::6875	TAF4B	Gene
Gene::9362	CPNE6	Gene
Pathway::PC7_6995	Role of phospholipids in phagocytosis	Pathway
Gene::4720	NDUFS2	Gene
Gene::168433	RNF133	Gene
Gene::11277	TREX1	Gene
Gene::493911	PHOSPHO2	Gene
Gene::55869	HDAC8	Gene
Gene::153478	PLEKHG4B	Gene
Gene::56122	PCDHB14	Gene
Gene::255738	PCSK9	Gene
Gene::81932	HDHD3	Gene
Gene::379	ARL4D	Gene
Gene::442867	BPY2B	Gene
Gene::353088	ZNF429	Gene
Gene::25832	NBPF14	Gene
Gene::84301	DDI2	Gene
Gene::8483	CILP	Gene
Pathway::PC7_4497	Hyaluronan metabolism	Pathway
Gene::593	BCKDHA	Gene
Gene::4216	MAP3K4	Gene
Pathway::PC7_3632	Effects of Botulinum toxin	Pathway
Gene::435	ASL	Gene
Gene::4798	NFRKB	Gene
Gene::4313	MMP2	Gene
Gene::151531	UPP2	Gene
Gene::8803	SUCLA2	Gene
Gene::348110	ARPIN	Gene
Gene::84634	KISS1R	Gene
Gene::64427	TTC31	Gene
Gene::5269	SERPINB6	Gene
Gene::6361	CCL17	Gene
Gene::55920	RCC2	Gene
Pathway::PC7_7717	Syndecan interactions	Pathway
Gene::51421	AMOTL2	Gene
Gene::128602	C20orf85	Gene
Gene::55138	FAM90A1	Gene
Gene::3690	ITGB3	Gene
Gene::55198	APPL2	Gene
Pathway::PC7_5025	Loss of Function of SMAD2/3 in Cancer	Pathway
Gene::100101267	POM121C	Gene
Gene::390980	ZNF805	Gene
Gene::11155	LDB3	Gene
Pathway::PC7_6653	Purine ribonucleoside monophosphate biosynthesis	Pathway
Pathway::PC7_8444	Type I hemidesmosome assembly	Pathway
Gene::56904	SH3GLB2	Gene
Gene::64121	RRAGC	Gene
Gene::5786	PTPRA	Gene
Gene::60312	AFAP1	Gene
Gene::51379	CRLF3	Gene
Gene::9969	MED13	Gene
Gene::64781	CERK	Gene
Gene::7918	GPANK1	Gene
Gene::80216	ALPK1	Gene
Pathway::PC7_4791	Ion channel transport	Pathway
Gene::6170	RPL39	Gene
Gene::23568	ARL2BP	Gene
Gene::11079	RER1	Gene
Gene::50832	TAS2R4	Gene
Gene::64960	MRPS15	Gene
Gene::9871	SEC24D	Gene
Gene::728343	NXF2B	Gene
Gene::10891	PPARGC1A	Gene
Gene::613209	DEFB135	Gene
Gene::84947	SERAC1	Gene
Gene::727866	FAM156B	Gene
Gene::130106	CIB4	Gene
Gene::113829	SLC35A4	Gene
Gene::145376	PPP1R36	Gene
Gene::91392	ZNF502	Gene
Gene::3234	HOXD8	Gene
Gene::137994	LETM2	Gene
Gene::353238	PADI6	Gene
Gene::101	ADAM8	Gene
Gene::23354	HAUS5	Gene
Gene::23109	DDN	Gene
Pathway::PC7_4734	Inhibition of TSC complex formation by PKB	Pathway
Gene::2261	FGFR3	Gene
